smiles,class,Seed_0
ClCCCl,1,train
Clc1ccc(Cl)c(Cl)c1,0,train
O=CCCl,0,test
CCC(C)C(=O)C(=O)O,0,train
CC(C)C(=O)C(=O)O,0,train
CC(C)CC(=O)C(=O)O,0,train
O=C(O)CCCC(=O)C(=O)O,0,train
NCCCC(=O)O,0,train
NCC(=O)CCC(=O)O,0,train
NC(Cc1c[nH]c2ccc(O)cc12)C(=O)O,0,train
OCCO,0,train
CC(=O)O,1,train
CC=O,1,train
CC(N)=O,1,train
CC(C)=O,0,train
Nc1ncnc2nc[nH]c12,0,train
NC(=O)NC1NC(=O)NC1=O,0,train
Nc1ccccc1C(=O)O,0,train
NCCC(=O)O,0,train
c1ccccc1,1,train
O=C(O)c1ccccc1,0,train
CCCC(=O)O,0,train
NC(=O)O,0,train
O=C=O,0,train
[C-]#[O+],0,train
Oc1ccccc1O,1,train
C,0,train
O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,1,train
O=C1C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl,1,train
Cc1c2[nH]c(c1CCC(=O)O)Cc1[nH]c(c(CCC(=O)O)c1C)Cc1[nH]c(c(CCC(=O)O)c1C)Cc1[nH]c(c(C)c1CCC(=O)O)C2,0,test
O=c1ccc2ccccc2o1,1,train
Cc1ccccc1O,0,train
O=C(O)c1ccccc1O,0,train
Cc1cccc(O)c1,0,train
CCCCCCCC,0,train
CCCCCCCC(=O)O,0,train
CC(C)[N+](=O)[O-],1,train
Nc1ccc(O)cc1,0,train
CN1C(=O)CCC1c1cccnc1,0,train
CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,0,train
COc1ccccc1O,0,train
O=C(O)CNC(=O)c1ccccc1,0,train
NC(CCCC(=O)O)C(=O)O,0,train
CC(C(=O)O)C(=O)O,0,train
NC(N)=NCCCC(=O)C(=O)O,0,test
CN(CC(=O)O)C(=N)N,0,train
CC(=O)C(C)=O,0,train
CCOP(=O)(O)OCC,0,train
CCOP(O)(=S)OCC,0,train
CNC,0,train
C[S+](C)[O-],0,train
NCCc1ccc(O)c(O)c1,0,train
NC(CC1=CC(=O)C(=O)C=C1)C(=O)O,0,train
NCCO,0,train
CCO,1,train
C=O,1,test
ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,1,train
O=C(O)CCCC(=O)O,0,train
NCC(=O)O,0,train
O=CC(O)CO,0,train
OCC(O)CO,0,train
O=C(O)CO,0,train
NC(N)=NCC(=O)O,0,train
C#N,0,train
NC(CCS)C(=O)O,0,train
O=C(O)Cc1cc(O)ccc1O,0,train
N#CS,0,train
Oc1ccc(O)cc1,1,train
O=c1nc[nH]c2nc[nH]c12,0,train
O=C(O)Cc1c[nH]c2ccccc12,0,train
CC(=O)C=O,0,train
CO,0,train
COc1ccc2[nH]cc(CCNC(C)=O)c2c1,0,train
c1ccc2ccccc2c1,1,train
NC(=O)c1cccnc1,0,train
O=C(O)c1cccnc1,0,train
CN1CCCC1c1cccnc1,0,train
CN(C)c1ccccc1,1,train
O=C(O)c1cc(=O)[nH]c(=O)[nH]1,0,train
O=C(O)C(=O)O,0,train
Nc1ccc(C(=O)O)cc1,0,test
O=[N+]([O-])c1ccc(O)cc1,0,train
CCCCCCCCCCCCCCCC(=O)O,0,train
CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,1,train
Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,1,train
c1ccc2c(c1)ccc1ccccc12,0,train
Oc1ccccc1,0,train
O=CCc1ccccc1,0,train
O=C(O)Cc1ccccc1,0,train
NCc1[nH]cc(CCC(=O)O)c1CC(=O)O,0,train
CC(O)CO,0,train
CCC(=O)O,0,train
NCCCCN,0,train
c1ccncc1,1,train
Cc1ncc(CO)c(CO)c1O,0,train
CC(=O)C(=O)O,0,train
CNCC(=O)O,1,train
NCCCCNCCCN,0,train
NCCCNCCCCNCCCN,0,train
O=C(O)CCC(=O)O,1,train
Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1,0,train
Cc1ccccc1,1,train
C[N+](C)(C)[O-],0,train
CN(C)C,0,train
COc1cc(C=O)ccc1O,0,train
O=c1[nH]c(=O)c2[nH]cnc2[nH]1,0,train
O=C(O)C1CCC=N1,0,train
Clc1ccc(C2CC3CCC2N3)cn1,0,train
NC(C(=O)O)c1cc(=O)[nH]o1,0,train
c1cnc2c(c1)ccc1cccnc12,0,train
CNNC,1,train
CN1CC=C(c2ccccc2)CC1,0,train
O=C(O)COc1cc(Cl)c(Cl)cc1Cl,1,train
Oc1c(Br)cc(Br)cc1Br,0,train
O=C(O)COc1ccc(Cl)cc1Cl,1,train
O=C(O)CCCOc1ccc(Cl)cc1Cl,1,train
O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,0,train
Cn1c(N)nc2ncc(-c3ccccc3)cc21,1,train
Nc1ncn[nH]1,0,train
N#CCCN,0,train
CC(O)(CC(=O)O)CC(=O)O,0,train
COc1cc(CC(N)C(=O)O)ccc1O,0,train
O=C(O)CC[N+](=O)[O-],0,test
Nc1ccncc1,0,train
CCCCCCCCCc1ccc(O)cc1,0,train
O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,1,train
O=[N+]([O-])C1(Br)COCOC1,0,test
Oc1cccc2cccnc12,0,train
Nc1c2c(nc3ccccc13)CCCC2,0,train
COP(=O)(NC(C)=O)SC,0,train
CC(=O)Nc1ccc(O)cc1,1,train
CC(=O)Nc1cc([As](=O)(O)O)ccc1O,0,train
CCOCN(C(=O)CCl)c1c(C)cccc1CC,0,test
Cc1c2oc3c(C)ccc(C(=O)NC4C(=O)NC(C(C)C)C(=O)N5CCCC5C(=O)N(C)CC(=O)N(C)C(C(C)C)C(=O)OC4C)c3nc-2c(C(=O)NC2C(=O)NC(C(C)C)C(=O)N3CCCC3C(=O)N(C)CC(=O)N(C)C(C(C)C)C(=O)OC2C)c(N)c1=O,0,train
CCc1cccc(CC)c1N(COC)C(=O)CCl,0,train
CCCSc1ccc2nc(NC(=O)OC)[nH]c2c1,0,train
CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,1,train
CNC(=O)ON=CC(C)(C)SC,0,train
NCCCC(O)(P(=O)(O)O)P(=O)(O)O,0,train
CCC(C)C1NC(=O)CNC(=O)C2Cc3c([nH]c4cc(O)ccc34)[S+]([O-])CC(NC(=O)CNC1=O)C(=O)NC(CC(N)=O)C(=O)N1CC(O)CC1C(=O)NC(C(C)C(O)CO)C(=O)N2,0,train
Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,0,train
NC12CC3CC(CC(C3)C1)C2,0,train
CC[N+](CC)(CCNC(=O)C(=O)NCC[N+](CC)(CC)Cc1ccccc1Cl)Cc1ccccc1Cl,0,train
CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,0,train
Cn1c(=O)c2[nH]cnc2n(C)c1=O,0,train
