smiles,class,Seed_0
O=C(Cl)Cl,1,test
[C-]#[O+],1,train
CC(=O)O,1,train
ClCC(Br)CBr,1,train
C1=CC2C3C=CC(C3)C2C1,1,train
CC(C)Br,1,train
ClCCl,1,train
CCO,1,train
CCOCCOCC,1,test
Cc1ccccc1,1,train
CC(=O)CC(c1ccccc1)c1c(O)oc2ccccc2c1=O,1,train
CN1CCCC1=O,1,test
C=C(C)C(=O)OCC1CO1,1,train
O=c1oc2ccccc2c(O)c1C1CC(c2ccc(-c3ccc(Br)cc3)cc2)Cc2ccccc21,1,train
COC(C)COC(C)=O,1,train
CCCCCOC(=O)c1ccccc1C(=O)OCCCCC,1,train
O=[N+]([O-])c1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1O,1,train
CCCCOC(=O)c1ccccc1C(=O)OCc1ccccc1,1,train
CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC,1,train
CC(C)(C)c1ccc(C(=O)O)cc1,1,train
C#CCOc1cc(-n2nc(C(C)(C)C)oc2=O)c(Cl)cc1Cl,1,train
NCCN,1,train
Nc1nc[nH]n1,1,train
CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,1,train
CC1CC(C)C(=O)C(C(O)CC2CC(=O)NC(=O)C2)C1,1,train
CC(=O)N(C)C,1,train
CN(C)C=O,1,train
c1c[nH]cn1,1,train
CCN1CCCC1=O,1,train
CCC,1,train
CCCC,1,train
CCCCC,1,train
CCC(CO)NCCNC(CC)CO,1,train
CC1(C)OC2CC3C4CC(F)C5=CC(=O)C=CC5(C)C4C(O)CC3(C)C2(C(=O)CO)O1,1,train
FC(F)OC(F)(F)C(F)Cl,1,train
CC1c2cccc(O)c2C(=O)C2=C(O)C3(O)C(O)=C(C(N)=O)C(=O)C(N(C)C)C3C(O)C21,1,train
CC(=O)OC1CCC2(C)C(=CCC3C2CCC2(C)C(C(C)=O)=CCC32)C1,1,train
CC1CC2C3CC(F)C4=CC(=O)C=CC4(C)C3C(O)CC2(C)C1C(=O)COC(=O)C(C)(C)C,1,train
CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,1,train
C=CC(=O)OCC(COCC(COC(=O)C=C)(COC(=O)C=C)COC(=O)C=C)(COC(=O)C=C)COC(=O)C=C,1,train
OCC1CO1,1,train
CCCCCCCCCCCC(=O)O,1,train
CCCCC(=O)OC1CCC2C3CCc4cc(O)ccc4C3CCC12C,1,train
CCCCCC(=O)OC1(C(C)=O)CCC2C3CCC4=CC(=O)CCC4C3CCC21C,1,train
CCCCCC(O)C=CC1C(O)CC(=O)C1CC=CCCCC(=O)O,1,train
COc1ccc2[nH]cc(CCNC(C)=O)c2c1,1,train
COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(=O)CO)CC3OC1CC(N)C(O)C(C)O1,1,train
CCCCCC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC21C,1,test
O=C(O)CCCC1CCCCC1,1,test
NCC1OC(OC2C(N)CC(N)C(OC3OC(CO)C(O)C(N)C3O)C2O)C(O)C(O)C1O,1,train
Clc1ccc(C(c2ccccc2Cl)C(Cl)Cl)cc1,1,train
CN(C)c1ccc(O)c2c1CC1CC3C(N(C)C)C(=O)C(C(N)=O)=C(O)C3(O)C(=O)C1=C2O,1,train
COC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C,1,train
C#CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,1,train
CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)COP(=O)(O)O,1,train
CC12CCC3c4ccc(O)cc4CCC3C1CCC2=O,1,train
CCCCCCC(=O)OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,1,train
CCCCCCCCCC(=O)OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,1,train
CC(=O)OC1CCC2C3CCC4CC(=O)C=C(C)C4(C)C3CCC12C,1,train
CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N1CCCC1C(=O)O,1,train
CC12C=CC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12,1,test
Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,1,train
CCC(=C(CC)c1ccc(O)cc1)c1ccc(O)cc1,1,train
CC12CCC3c4ccc(OC(=O)c5ccccc5)cc4CCC3C1CCC2O,1,train
CC12C=CC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,1,train
CC(=O)OC1(C(C)=O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,1,test
CCCCc1oc2ccc(NS(C)(=O)=O)cc2c1C(=O)c1ccc(OCCCN(CCCC)CCCC)cc1,1,train
CC(=O)OC1(C(C)=O)CCC2C3C=C(Cl)C4=CC(=O)CCC4(C)C3CCC21C,1,train
CC12CCC3C(CCC4=CC(=O)CCC43C)C1CCC2=O,1,train
COC(=O)C1C2CC3c4[nH]c5cc(OC)ccc5c4CCN3CC2CC(OC(=O)c2cc(OC)c(OC)c(OC)c2)C1OC,1,train
FC(F)OC(Cl)C(F)(F)F,1,train
Cc1cccc(C)c1O,1,train
O=c1[nH]c(=O)n(C2CCCO2)cc1F,1,train
C#CC1(O)CCC2C3CCC4=Cc5oncc5CC4(C)C3CCC21C,1,train
CCCCCC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC21C,1,train
CCC(c1ccccc1)C(O)(c1ccccc1)c1ccc(OCCN(C)C)cc1,1,train
CCCC(CCC)C(=O)O,1,train
CC(=O)OCC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,1,train
CCCCCCCCCCCCCCCCCC(=O)O,1,train
O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CCN(CC(=O)O)CC(=O)O,1,train
O=C(O)c1ccc(O)cc1O,1,test
CC(C)(S)C(N)C(=O)O,1,train
C#CC1(O)CCC2C3CCC4=CC(O)=C(C=O)CC4(C)C3CCC21C,1,test
CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,1,train
CC12C=CC(=O)C=C1CCC1C2CCC2(C)C1CCC2(C)O,1,train
Cc1ccncn1,1,train
CCC(=C(c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,1,train
CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)COP(=O)(O)O,1,test
NC12CC3CC(CC(C3)C1)C2,1,train
Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,1,train
CC12CCC3(O)C(CCC4=CC(=O)CCC43C)C1CCC2=O,1,train
CC1=C(CC(=O)O)c2cc(F)ccc2C1=Cc1ccc([S+](C)[O-])cc1,1,train
O=C(O)CC(O)(CC(=O)O)C(=O)O,1,train
Fc1ccc(C2CCNCC2COc2ccc3c(c2)OCO3)cc1,1,train
CC(C)NCC(O)COc1cccc2ccccc12,1,train
CC1CC2C3CCC4=CC(=O)C=CC4(C)C3C(=O)CC2(C)C1(O)C(=O)CO,1,train
CCNC(=O)C1CCCN1C(=O)C(CCCN=C(N)N)NC(=O)C(CC(C)C)NC(=O)C(COC(C)(C)C)NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(CO)NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(Cc1c[nH]cn1)NC(=O)C1CCC(=O)N1,1,train
CC12C=CC(=O)C=C1CCC1C2CCC2(C)C(=O)CCC12,1,train
